type,part,term,definition
shakespearian,prefix,a,apart
shakespearian,prefix,twixt,between
shakespearian,prefix,fore,forward
shakespearian,prefix,un,negation
shakespearian,prefix,dis,separation
shakespearian,prefix,en,within
shakespearian,prefix,al,entirely
shakespearian,prefix,up,upward
shakespearian,prefix,down,downward
shakespearian,prefix,over,above
shakespearian,prefix,hither,near
shakespearian,root,gild,adornment
shakespearian,root,mirth,merriment
shakespearian,root,woe,sorrow
shakespearian,root,bard,poetry
shakespearian,root,quoth,speech
shakespearian,root,fain,desire
shakespearian,root,rue,regret
shakespearian,root,vow,oath
shakespearian,root,glee,joy
shakespearian,root,knave,villainy
shakespearian,root,wit,wisdom
shakespearian,root,doom,fate
shakespearian,root,quest,journey
shakespearian,root,heart,emotion
shakespearian,root,shade,ghost
shakespearian,root,revel,celebration
shakespearian,root,scorn,disdain
shakespearian,root,grace,virtue
shakespearian,root,plight,hardship
shakespearian,root,valor,courage
shakespearian,suffix,th,action
shakespearian,suffix,est,extreme
shakespearian,suffix,ing,action
shakespearian,suffix,ard,character
shakespearian,suffix,ly,manner
shakespearian,suffix,ous,abundance
shakespearian,suffix,ful,fullness
shakespearian,suffix,ment,outcome
shakespearian,suffix,ure,structure
shakespearian,suffix,ance,performance
shakespearian,suffix,eth,action
shakespearian,suffix,less,lacking
shakespearian,suffix,ness,quality
shakespearian,suffix,y,condition
shakespearian,suffix,ling,diminutive
shakespearian,suffix,age,collection
shakespearian,suffix,ion,action
shakespearian,suffix,able,ability
shakespearian,suffix,ant,agent
shakespearian,suffix,ive,action
popculture,prefix,mega,massive
popculture,prefix,ultra,extreme
popculture,prefix,hyper,excess
popculture,prefix,neo,new
popculture,prefix,retro,nostalgic
popculture,prefix,pop,popular
popculture,prefix,trend,fashionable
popculture,prefix,viral,spreading
popculture,prefix,meme,humorous
popculture,prefix,fandom,fanatic
popculture,prefix,super,superior
popculture,prefix,giga,huge
popculture,prefix,epic,grand
popculture,prefix,meta,self-referential
popculture,prefix,omni,all
popculture,prefix,cyber,digital
popculture,prefix,indie,independent
popculture,prefix,mainstream,conventional
popculture,prefix,glitz,glamorous
popculture,prefix,vibe,atmospheric
popculture,root,vibe,atmosphere
popculture,root,hype,excitement
popculture,root,trend,fashion
popculture,root,ship,relationship
popculture,root,stan,admiration
popculture,root,flick,film
popculture,root,jam,music
popculture,root,meme,humor
popculture,root,icon,symbol
popculture,root,bling,glamour
popculture,root,buzz,attention
popculture,root,glow,appeal
popculture,root,clap,response
popculture,root,shade,criticism
popculture,root,slay,excellence
popculture,root,tea,gossip
popculture,root,fame,celebrity
popculture,root,loop,recurrence
popculture,root,stream,flow
popculture,root,click,engagement
popculture,suffix,ify,creation
popculture,suffix,ism,belief
popculture,suffix,ology,study
popculture,suffix,er,agent
popculture,suffix,ist,expert
popculture,suffix,ous,abundance
popculture,suffix,ity,quality
popculture,suffix,esque,style
popculture,suffix,ation,process
popculture,suffix,ful,fullness
popculture,suffix,core,aesthetic
popculture,suffix,wave,movement
popculture,suffix,stan,devotee
popculture,suffix,age,era
popculture,suffix,ic,association
popculture,suffix,al,relation
popculture,suffix,ment,outcome
popculture,suffix,ize,creation
popculture,suffix,able,ability
popculture,suffix,ant,agent
astronomy,prefix,astro,stellar
astronomy,prefix,cosmo,cosmic
astronomy,prefix,galact,galactic
astronomy,prefix,stella,starry
astronomy,prefix,luna,lunar
astronomy,prefix,solar,solar
astronomy,prefix,neb,nebulous
astronomy,prefix,orbit,orbital
astronomy,prefix,nova,explosive
astronomy,prefix,helio,sun-related
astronomy,prefix,inter,interstellar
astronomy,prefix,peri,near
astronomy,prefix,apo,far
astronomy,prefix,trans,across
astronomy,prefix,extra,extraterrestrial
astronomy,prefix,photo,light
astronomy,prefix,spec,spectral
astronomy,prefix,chrono,time
astronomy,prefix,mega,large
astronomy,prefix,micro,small
astronomy,root,star,stars
astronomy,root,planet,planets
astronomy,root,moon,moons
astronomy,root,nebula,clouds
astronomy,root,comet,comets
astronomy,root,orbit,orbits
astronomy,root,grav,gravity
astronomy,root,lume,illumination
astronomy,root,nova,explosions
astronomy,root,void,emptiness
astronomy,root,ray,radiation
astronomy,root,wave,oscillation
astronomy,root,clust,grouping
astronomy,root,field,force
astronomy,root,spin,rotation
astronomy,root,flare,eruption
astronomy,root,core,center
astronomy,root,ring,structure
astronomy,root,zone,region
astronomy,root,light,brightness
astronomy,suffix,oid,resemblance
astronomy,suffix,ism,belief
astronomy,suffix,ology,study
astronomy,suffix,ic,association
astronomy,suffix,al,relation
astronomy,suffix,ar,nature
astronomy,suffix,ous,abundance
astronomy,suffix,ity,quality
astronomy,suffix,ence,condition
astronomy,suffix,arium,location
astronomy,suffix,metry,measurement
astronomy,suffix,ist,expert
astronomy,suffix,ize,creation
astronomy,suffix,ive,action
astronomy,suffix,age,era
astronomy,suffix,ant,agent
astronomy,suffix,able,ability
astronomy,suffix,ion,action
astronomy,suffix,ment,outcome
astronomy,suffix,ory,place
